2.327048290651823e-21,5.9823308619950835e-21,7.75235239367072e-21,4.6147596739586025e-21,4.552898126713259e-21,4.976457021642734e-21,1.3000729976069503e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4.872850896454805e-21,1.1595388956604784e-20,5.577868487753128e-21,1.8350960939068737e-21,1.5077146910776526e-21,2.4690825321743253e-21,4.070196623972503e-21,5.2394876324282525e-21,6.112726587270256e-21,5.014367995428387e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4.312388783751475e-22,1.1295126246675548e-20,1.285816372218176e-20,4.23483844740176e-21,2.4059363323482037e-21,1.665106837150027e-21,1.319783335706855e-21,1.2166104072898237e-21,1.2684823456243361e-21,1.7063771145026697e-21,3.1609919172576408e-21,4.8042914465790035e-21,6.094129648994283e-21,7.104090894613549e-21,7.88259896804742e-21,2.055740433611211e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.890439033461758e-21,1.5634242007420272e-20,8.110469791371086e-21,4.5253650630173984e-21,2.9374824556348942e-21,2.126682336177006e-21,1.6380514789703855e-21,1.3372584019494166e-21,1.168132467095341e-21,1.1129195526123263e-21,1.1509513105784765e-21,1.250138403800283e-21,1.4925589919580651e-21,2.3120508791804818e-21,3.88160547139407e-21,5.477761232292659e-21,6.821418058787972e-21,7.923304338906269e-21,8.731410002109385e-21,2.2491277532205755e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,3.1868513264025408e-21,1.5036586963539263e-20,1.0888683053058817e-20,7.265756012068448e-21,4.696756900586723e-21,3.3151240603122356e-21,2.521591251110784e-21,1.9935972899879417e-21,1.627380470333222e-21,1.3718673687438228e-21,1.1991602839321843e-21,1.0948691796693084e-21,1.0563802204331971e-21,1.0842972450431695e-21,1.1606489913868186e-21,1.2665502397409241e-21,1.441235622727639e-21,1.882525050330326e-21,2.9682592479432998e-21,4.575929579179532e-21,6.163597613199604e-21,7.529085184531707e-21,8.63394421388946e-21,9.34455962792021e-21,7.085349072119002e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1.6555142909781794e-21,1.2586085235673116e-20,1.168229370184872e-20,9.33368916352186e-21,6.832613535385072e-21,4.815693535853116e-21,3.5944457645056456e-21,2.8421206833801114e-21,2.310819136110598e-21,1.919149283552755e-21,1.6254813536767593e-21,1.4049140456417425e-21,1.2418975818038177e-21,1.1267962928475417e-21,1.0544298047165714e-21,1.0247876871529526e-21,1.0417704057990983e-21,1.1022774850842794e-21,1.1896437164035887e-21,1.2919604087371257e-21,1.4352445726056112e-21,1.7148430463134276e-21,2.39359138970284e-21,3.662698181062594e-21,5.282007354444147e-21,6.853264413964271e-21,8.193726491489901e-21,9.22877442549517e-21,9.781785271727445e-21,7.324366103572074e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,8.926734495383796e-22,1.074085638407956e-20,1.141326840757633e-20,9.804950320089354e-21,8.590989703630729e-21,6.56134685265092e-21,4.893318853733911e-21,3.79918613591215e-21,3.093854659982542e-21,2.5761318214467712e-21,2.1788247993678585e-21,1.8682247797461625e-21,1.6233347369855877e-21,1.4302186344607894e-21,1.2793940671722345e-21,1.1644272860472605e-21,1.0811515683822618e-21,1.027367862605647e-21,1.003494939901725e-21,1.01298258410308e-21,1.0579810584862726e-21,1.1314915676101885e-21,1.219563722923783e-21,1.3135200928077322e-21,1.4320053489195859e-21,1.6333273904177318e-21,2.0728149805287464e-21,2.968351851775776e-21,4.35389082658933e-21,5.962896860143575e-21,7.481367095879095e-21,8.755853229273425e-21,9.666959377678944e-21,1.0071105131007625e-20,9.9229656684219e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5.651743600378334e-22,9.056437602185558e-21,1.1140192061784856e-20,9.440232450711336e-21,9.18556661862338e-21,8.04874704916834e-21,6.378259786801108e-21,4.948315159609982e-21,3.9557881561985106e-21,3.295108314747934e-21,2.7976902255055567e-21,2.404822717482236e-21,2.088656957974111e-21,1.831640856506993e-21,1.6217344769323602e-21,1.4503719226095222e-21,1.3113780597354358e-21,1.2002996303518421e-21,1.1139983927396938e-21,1.0504234529562306e-21,1.0085570241088237e-21,9.887881238193592e-22,9.938333504174676e-22,1.026612170424374e-21,1.0860185436208002e-21,1.1636246989218417e-21,1.2478132380913425e-21,1.332090151538131e-21,1.430232789284907e-21,1.5877690909488523e-21,1.893045993480214e-21,2.5187900043832012e-21,3.588914301960853e-21,5.040021810477861e-21,6.612684156635469e-21,8.063227558905842e-21,9.237044628381707e-21,1.0005713366455417e-20,1.0281548790480453e-20,1.0081007258145713e-20,4.8612460208070135e-21,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.9646757140514375e-22,7.67675079600268e-21,1.0903529241520864e-20,9.073317647797089e-21,8.904001432608965e-21,8.795093357593739e-21,7.649122614715552e-21,6.254607400972928e-21,4.9978238063551925e-21,4.0858505911761865e-21,3.46360173738758e-21,2.9876923032027484e-21,2.603819199402244e-21,2.2881394942358068e-21,2.0258026460448757e-21,1.8064686762765225e-21,1.6225954915780084e-21,1.468550263935377e-21,1.3400900443573729e-21,1.2340181415974788e-21,1.1479573691206508e-21,1.080206535755669e-21,1.0296728389140024e-21,9.958544045058706e-22,9.790691390641232e-22,9.813987557641338e-22,1.005247580156038e-21,1.05215994150727e-21,1.1182882547418984e-21,1.1951497294061755e-21,1.2730539327537376e-21,1.3477402694296982e-21,1.4299605058781908e-21,1.5588513114543054e-21,1.7887258099934818e-21,2.2439036560681307e-21,3.0518751671556615e-21,4.261395879315491e-21,5.7418389175651966e-21,7.261655327888599e-21,8.620452074822996e-21,9.653990133319836e-21,1.0272074968870256e-20,1.0434545935422244e-20,1.0203925055349865e-20,4.933769449747163e-21,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,3.0666077069393725e-22,6.579361787537929e-21,1.0547546911279019e-20,8.992596408421898e-21,8.38664878437021e-21,8.71845640661877e-21,8.424438740402748e-21,7.344197176518958e-21,6.153841030168296e-21,5.031095627741373e-21,4.187058427084341e-21,3.599262946579858e-21,3.1452655865705045e-21,2.7733350379426795e-21,2.4623238728349025e-21,2.1994600762893964e-21,1.9758334250749876e-21,1.784852053580075e-21,1.6214911183236305e-21,1.4818608619935483e-21,1.3629298912150554e-21,1.2623376994196279e-21,1.1782631361763322e-21,1.1093282032914676e-21,1.054541017738625e-21,1.0132986323671178e-21,9.853315466628185e-22,9.709482219549522e-22,9.715961123557148e-22,9.893435100554018e-22,1.0261574407144284e-21,1.0811673165567357e-21,1.1496486097406106e-21,1.2228197898767533e-21,1.2939556703700257e-21,1.3598391542023112e-21,1.4307410998249001e-21,1.5427002704932889e-21,1.73758100789662e-21,2.095477911726513e-21,2.7231598919492695e-21,3.692014726721916e-21,4.9806186573705216e-21,6.435959716775745e-21,7.86850169113891e-21,9.095195549136797e-21,9.978558903624667e-21,1.0462119645401829e-20,1.0539686035007577e-20,1.0292490789185692e-20,7.436248110312769e-21
